SEASON_YEAR,PLAYER_ID,FIRST_NAME,LAST_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
2003,2618,Marcus,Hatten,PG,6' 0.75'',,163,6' 6.25'',8' 2'',4.0,,
2003,2550,Kirk,Hinrich,PG-SG,6' 2.75'',,186,6' 6'',8' 2.5'',5.3,,
2003,12082,Jerry,Holman,PF,6' 8.75'',,232,7' 3.25'',9' 1.5'',6.0,,
2003,12083,Sam,Hoskin,PF,6' 7.25'',,261,6' 10.75'',8' 11.5'',,,
2003,2572,Josh,Howard,SF-SG,6' 5.25'',,202,7' 2'',8' 9.5'',6.0,,
2003,2599,Brandon,Hunter,PF,6' 6.5'',,266,7' 2.75'',8' 9.5'',8.0,,
2003,12084,Sani,Ibrahim,C-PF,6' 8.5'',,229,7' 1'',9' 1.5'',9.3,,
2003,12085,Michael,Ignerski,PF-SF,6' 9.5'',,232,6' 10.75'',8' 11'',10.5,,
2003,12086,Robert,Jackson,PF-C,6' 7.75'',,254,7' 0'',8' 11.5'',15.9,,
2003,2544,LeBron,James,SF-SG,6' 7.25'',,245,7' 0.25'',8' 10.25'',6.7,,
2003,2639,Britton,Johnsen,SF-PF,6' 10'',,212,6' 10.75'',8' 11.5'',7.3,,
2003,2563,Dahntay,Jones,SG-SF,6' 4.75'',,214,6' 9'',8' 6.5'',2.6,,
2003,2592,James,Jones,SF,6' 7.25'',,218,7' 2.5'',8' 11.5'',6.7,,
2003,2549,Chris,Kaman,C-PF,6' 11.5'',,252,6' 11.75'',9' 2.5'',16.3,,
2003,2574,Jason,Kapono,SG-SF,6' 6.5'',,215,6' 6.5'',8' 6'',11.7,,
2003,12087,Jason,Keep,C-PF,6' 9.75'',,270,7' 0.5'',8' 10.5'',8.6,,
2003,12088,Bernard,King,SG-PG,6' 3.75'',,200,6' 5.5'',8' 2.5'',12.9,,
2003,2688,Brandin,Knight,PG,5' 11.75'',,190,6' 6'',7' 11.5'',10.5,,
2003,2594,Kyle,Korver,SF,6' 6.25'',,211,6' 9.5'',8' 6.5'',6.7,,
2003,2591,James,Lang,C-PF,6' 8.25'',,316,7' 6.25'',9' 2'',21.4,,
2003,12089,Donald,Little,PF-C,6' 9.5'',,229,7' 3'',8' 1'',7.3,,
2003,2658,Chris,Marcus,C,7' 0'',,334,7' 8'',9' 6'',23.1,,
2003,12090,Chris,Massie,PF-C,6' 6.5'',,259,7' 1'',8' 10.5'',14.8,,
2003,12091,Will,McDonald,C-PF,6' 9.5'',,258,7' 3.5'',9' 1.5'',13.6,,
2003,2545,Darko,Milicic,PF,6' 11.5'',,250,7' 5'',9' 3.5'',8.0,,
2003,12092,Jeff,Newton,PF,6' 8'',,199,7' 1'',8' 10'',5.3,,
2003,12093,Uche,Nsonwu-Amadi,PF-C,6' 7.75'',,246,7' 3.75'',8' 10.5'',6.0,,
2003,12094,Ugonna,Okyekwe,SF,6' 7.25'',,228,7' 3'',9' 1'',4.3,,
2003,101248,Marlon,Parmer,PG,6' 0.75'',,184,6' 3.5'',8' 1'',9.3,,
2003,12095,Stephane,Pelle,PF-SF,6' 7'',,246,7' 2'',8' 11'',12.4,,
2003,2632,Kirk,Penney,SG-SF,6' 5'',,218,6' 5.25'',8' 1'',8.0,,
2003,2750,Pavel,Podkolzin,C,7' 3.5'',,303,7' 5.75'',9' 8'',16.3,,
2003,2694,Josh,Powell,PF-SF,6' 8'',,227,7' 1'',8' 11.5'',8.0,,
2003,12096,Hollis,Price,PG-SG,5' 11.5'',,165,6' 4.5'',7' 10.5'',7.3,,
2003,2557,Luke,Ridnour,PG,6' 1'',,167,6' 3'',7' 11.5'',5.3,,
2003,12097,Joe,Shipp,SG,6' 4'',,224,6' 10'',8' 7'',11.7,,
2003,12098,Ron,Slay,SF-PF,6' 6'',,236,6' 10'',8' 7.5'',16.3,,
2003,2596,Tommy,Smith,PF-SF,6' 9'',,200,7' 2.5'',8' 11.5'',6.7,,
2003,2604,Theron,Smith,PF-SF,6' 6.5'',,234,6' 10.25'',8' 8.5'',9.3,,
2003,12099,Marvin,Stone,C-PF,6' 9.5'',,261,7' 3.5'',9' 1.5'',17.4,,
2003,2552,Michael,Sweetney,PF,6' 7.25'',,262,7' 1'',8' 11.5'',14.1,,
2003,2756,Sasha,Vujacic,PG-SG,6' 5.5'',,193,6' 5.5'',8' 5'',14.1,,
2003,2548,Dwyane,Wade,SG-SF,6' 3.75'',,212,6' 10.75'',8' 6'',6.7,,
2003,12101,Wayne,Wallace,PF,6' 7.25'',,187,7' 2'',9' 0'',4.6,,
2003,2575,Luke,Walton,SF-PF,6' 7.75'',,235,6' 8.5'',8' 8'',9.3,,
2003,2561,David,West,PF-SF,6' 8.25'',,226,7' 4.25'',9' 0.25'',8.0,,
2003,2590,Mo,Williams,PG-SG,6' 0.75'',,189,6' 5.5'',8' 2.5'',6.7,,
2003,12102,Wesley,Wilson,C-PF,6' 10.25'',,257,7' 3'',9' 2.5'',12.4,,
2003,12103,Doug,Wrenn,SF-PF,6' 5.75'',,220,7' 7.5'',8' 4.5'',7.3,,
2003,2583,Derrick,Zimmerman,PG,6' 1'',,190,6' 9'',8' .25'',5.3,,
2004,2754,Tony,Allen,SG,6' 3.5'',6' 4.25'',214,6' 9'',8' 6'',6.7,,
2004,2772,Trevor,Ariza,SG-SF,6' 7'',6' 8.25'',201,7' 2'',8' 11.5'',8.0,,
2004,2857,Andre,Barrett,PG,5' 8.75'',5' 9.75'',171,6' 1'',7' 8'',6.7,,
2004,101138,Brandon,Bass,PF,6' 6.25'',6' 7.25'',246,7' 2.5'',8' 10.5'',9.3,,
2004,2740,Andris,Biedrins,C,,,,,,9.3,,
2004,2800,Tony,Bobbitt,SG,6' 2.75'',6' 4'',185,6' 7'',8' 4'',7.3,,
2004,12173,Brian,Boddicker,SF-PF,6' 7.5'',6' 8.75'',230,6' 10'',8' 9.5'',11.2,,
2004,12174,Tim,Bowers,PG-SG,6' 0.5'',6' 1.75'',181,6' 9'',8' 2'',2.6,,
2004,2810,Andre,Brown,PF-C,6' 8'',6' 9.5'',236,6' 11'',8' 11'',6.0,,
2004,2766,Antonio,Burks,PG,6' 0'',6' 0.75'',191,6' 6.5'',8' 0.5'',9.9,,
